=== sondes.csv ===
type,ms,lat,lon,depth,heading
I,0,38.53232193,-121.69281006,-0.9144,270.00
S,151464,38.53231812,-121.69283295,-0.9144,
S,476920,38.53231430,-121.69287109,-1.2192,
S,672336,38.53231812,-121.69288635,-1.5240,
S,713616,38.53231049,-121.69289398,-1.5240,
S,774741,38.53231812,-121.69290161,-1.5240,


=== ticks.csv ===
ms,steer,hammer,dt
379756,0x31,0x0A,0
382756,0x35,0x0A,0
383756,0x3D,0x0A,0
398756,0x35,0x0A,0
399756,0x30,0x0A,0
401756,0x32,0x0A,0
401756,0x31,0x0A,0
404756,0x35,0x0A,0
405756,0x3D,0x0A,0
420756,0x35,0x0A,0
421756,0x30,0x0A,0
423756,0x32,0x0A,0
423756,0x31,0x0A,0
426756,0x35,0x0A,0
427756,0x3D,0x0A,0
442756,0x35,0x0A,0
443756,0x30,0x0A,0
445756,0x32,0x0A,0
445756,0x31,0x0A,0
445758,0x61,0x09,0
448756,0x65,0x09,0
449756,0x6D,0x09,0
464756,0x65,0x09,0
465756,0x60,0x09,0
467756,0x62,0x09,0
467756,0x61,0x09,0
470756,0x65,0x09,0
471756,0x6D,0x09,0
486756,0x65,0x09,0
487756,0x60,0x09,0
489756,0x62,0x09,0
489756,0x61,0x09,0
492756,0x65,0x09,0
493756,0x6D,0x09,0
508756,0x65,0x09,0
509756,0x60,0x09,0
511756,0x62,0x09,0
511756,0x61,0x09,0
514756,0x65,0x09,0
515756,0x6D,0x09,0
530756,0x65,0x09,0
531756,0x60,0x09,0
533756,0x62,0x09,0
533756,0x61,0x09,0
536756,0x65,0x09,0
537756,0x6D,0x09,0
552756,0x65,0x09,0
553756,0x60,0x09,0
555756,0x62,0x09,0
555756,0x61,0x09,0
558756,0x65,0x09,0
559756,0x6D,0x09,0
574756,0x65,0x09,0
575756,0x60,0x09,0
577756,0x62,0x09,0
577756,0x61,0x09,0
580756,0x65,0x09,0
581756,0x6D,0x09,0
596756,0x65,0x09,0
597756,0x60,0x09,0
599756,0x62,0x09,0
599756,0x61,0x09,0
602756,0x65,0x09,0
603756,0x6D,0x09,0
618756,0x65,0x09,0
619756,0x60,0x09,0
621756,0x62,0x09,0
621756,0x61,0x09,0
624756,0x65,0x09,0
625756,0x6D,0x09,0
640756,0x65,0x09,0
641756,0x60,0x09,0
643756,0x62,0x09,0
643756,0x61,0x09,0
646756,0x65,0x09,0
647756,0x6D,0x09,0
662756,0x65,0x09,0
663756,0x60,0x09,0
665756,0x62,0x09,0
665756,0x61,0x09,0
668756,0x65,0x09,0
669756,0x6D,0x09,0
684756,0x65,0x09,0
685756,0x60,0x09,0
687756,0x62,0x09,0
687756,0x61,0x09,0
690756,0x65,0x09,0
691756,0x6D,0x09,0
706756,0x65,0x09,0
707756,0x60,0x09,0
709756,0x62,0x09,0
709756,0x61,0x09,0
712756,0x65,0x09,0
713756,0x6D,0x09,0
728756,0x65,0x09,0
729756,0x60,0x09,0
731756,0x62,0x09,0
731756,0x61,0x09,0
734756,0x65,0x09,0
735756,0x6D,0x09,0
750756,0x65,0x09,0
751756,0x60,0x09,0
753756,0x62,0x09,0
753756,0x61,0x09,0
756756,0x65,0x09,0
757756,0x6D,0x09,0
772756,0x65,0x09,0
773756,0x60,0x09,0
775756,0x62,0x09,0
775756,0x61,0x09,0
778756,0x65,0x08,0
779756,0x6D,0x08,0
794756,0x65,0x08,0
795756,0x60,0x08,0
797756,0x62,0x08,0
797756,0x61,0x08,0
800756,0x65,0x09,0
801756,0x6D,0x09,0
816756,0x65,0x09,0
817756,0x60,0x09,0
819756,0x62,0x09,0
819756,0x61,0x09,0
822756,0x65,0x09,0
823756,0x6D,0x08,0
833949,0x3D,0x0A,0
835670,0x6D,0x09,0
838756,0x65,0x08,0
839756,0x60,0x08,0
841756,0x62,0x08,0
841756,0x61,0x08,0
844756,0x65,0x09,0
845756,0x6D,0x09,0
857949,0x3D,0x0A,0
860756,0x35,0x08,0
861756,0x30,0x08,0
863756,0x32,0x08,0
863756,0x31,0x08,0
866756,0x35,0x08,0
867756,0x3D,0x08,0
882756,0x35,0x08,0
883756,0x30,0x0A,0
885756,0x32,0x08,0
885756,0x31,0x08,0
888756,0x35,0x08,0
889756,0x3D,0x08,0
896573,0x30,0x08,0
935743,0x31,0x08,0
937697,0xF1,0x00,0
938743,0xF5,0x00,0
939743,0xFD,0x00,0
954743,0xF5,0x00,0
955743,0xF0,0x00,0
957743,0xF2,0x00,0
957743,0xF1,0x00,0
960743,0xF5,0x00,0


=== analogIn.csv ===
ms,voltage
1,0.000
1001,0.000
2001,0.000
3001,0.000
4001,0.000
5001,0.000
6001,0.000
7001,0.000
8001,0.000
9001,0.000
10001,0.000
11001,0.000
12001,0.000
13001,0.000
14001,0.000
15001,0.000
16001,0.000
17001,0.000
18001,0.000
19001,0.000
20001,0.000
21001,0.000
22001,0.000
23001,0.000
24001,0.000
25001,0.000
26001,0.000
27001,0.000
28001,0.000
29001,0.000
30001,0.000
31001,0.000
32001,0.000
33001,0.000
34001,0.000
35001,0.000
36001,0.000
37001,0.000
38001,0.000
39001,0.000
40001,0.000
41001,0.000
42001,0.000
43001,0.000
44001,0.000
45001,0.000
46001,0.000
47001,0.000
48001,0.000
49001,0.000
50001,0.000
51001,0.000
52001,0.000
53001,0.000
54001,0.000
55001,0.000
56001,0.000
57001,0.000
58001,0.000
59001,0.000
60001,0.000
61001,0.000
62001,0.000
63001,0.000
64001,0.000
65001,0.000
66001,0.000
67001,0.000
68001,0.000
69001,0.000
70001,0.000
71001,0.000
72001,0.000
73001,0.000
74001,0.000
75001,0.000
76001,0.000
77001,0.000
78001,0.000
79001,0.000
80001,0.000
81001,0.000
82001,0.000
83001,0.000
84001,0.000
85001,0.000
86001,0.000
87001,0.000
88001,0.000
89001,0.000
90001,0.000
91001,0.000
92001,0.000
93001,0.000
94001,0.000
95001,0.000
96001,0.000
97001,0.000
98001,0.000
99001,0.000
100001,0.000
101001,0.000
102001,0.000
103001,0.000
104001,0.000
105001,0.000
106001,0.000
107001,0.000
108001,0.000
109001,0.000
110001,0.000
111001,0.000
112001,0.000
113001,0.000
114001,0.000
115001,0.000
116001,0.000
117001,0.000
118001,0.000
119001,0.000
120001,0.000
121001,0.000
122001,0.000
123001,0.000
124001,0.000
125002,0.000
126002,0.000
127002,0.000
128002,0.000
129002,0.000
130002,0.000
131002,0.000
132002,0.000
133002,0.000
134002,0.000
135002,0.000
136002,0.000
137002,0.000
138002,0.000
139002,0.000
140002,0.000
141002,0.000
142002,0.000
143002,0.000
144002,0.000
145002,0.000
146002,0.000
147002,0.000
148002,0.000
149002,0.000
150002,0.000
151002,0.000
152002,0.000
153002,0.000
154002,0.000
155002,0.000
156002,0.000
157002,0.000
158002,0.000
159002,0.000
160002,0.000
161002,0.000
162002,0.000
163002,0.000
164002,0.000
165002,0.000
166002,0.000
167002,0.000
168002,0.000
169002,0.000
170002,0.000
171002,0.000
172002,0.000
173002,0.000
174002,0.000
175002,0.000
176002,0.000
177002,0.000
178002,0.000
179002,0.000
180002,0.000
181002,0.000
182002,0.000
183002,0.000
184002,0.000
185002,0.000
186002,0.000
187002,0.000
188002,0.000
189002,0.000
190002,0.000
191002,0.000
192002,0.000
193002,0.000
194002,0.000
195002,0.000
196002,0.000
197002,0.000
198002,0.000
199002,0.000
200002,0.000
201002,0.000
202002,0.000
203002,0.000
204002,0.000
205002,0.000
206002,0.000
207002,0.000
208002,0.000
209002,0.000
210002,0.000
211002,0.000
212002,0.000
213002,0.000
214002,0.000
215002,0.000
216002,0.000
217002,0.000
218002,0.000
219002,0.000
220002,0.000
221002,0.000
222002,0.000
223002,0.000
224002,0.000
225002,0.000
226002,0.000
227002,0.000
228002,0.000
229002,0.000
230002,0.000
231002,0.000
232002,0.000
233002,0.000
234002,0.000
235002,0.000
236002,0.000
237002,0.000
238002,0.000
239002,0.000
240002,0.000
241002,0.000
242002,0.000
243002,0.000
244002,0.000
245002,0.000
246002,0.000
247002,0.000
248002,0.000
249002,0.000
250002,0.000
251002,0.000
252002,0.000
253002,0.000
254002,0.000
255002,0.000
256002,0.000
257002,0.000
258002,0.000
259002,0.000
